AB,BB,ERA,G,H,HR,IP,K,K_per_9,Name
140,12,,35,34,9,,40,,Brent Rooker
88,5,,27,20,0,,15,,Gio Urshela
,,0.00,,,,7.0,,0.0,Grant Holman
,,1.50,,,,6.0,,0.0,Gunnar Hoglund
,,2.45,,,,7.1,,0.0,Hogan Harris
120,18,,34,27,4,,29,,JJ Bleday
,,2.93,,,,40.0,,0.0,JP Sears
129,5,,33,43,3,,6,,Jacob Wilson
,,4.98,,,,34.1,,0.0,Jeffrey Springs
24,2,18.00,11,5,0,2.0,8,0.0,Jhonny Pereda
,,0.00,,,,16.2,,0.0,Justin Sterner
132,13,,33,33,5,,36,,Lawrence Butler
,,3.30,,,,43.2,,0.0,Luis Severino
61,10,,23,15,5,,9,,Luis Urías
,,4.97,,,,12.2,,0.0,Mason Miller
30,2,,20,7,0,,5,,Max Schuemann
86,6,,24,28,2,,11,,Miguel Andujar
,,3.74,,,,21.2,,0.0,Mitch Spence
36,2,,11,10,0,,18,,Nick Kurtz
,,13.80,,,,15.0,,0.0,Noah Murdock
,,4.71,,,,36.1,,0.0,Osvaldo Bido
34,5,,23,7,1,,12,,Seth Brown
112,10,,29,25,6,,19,,Shea Langeliers
,,6.00,,,,9.0,,0.0,T.J. McFarland
,,0.55,,,,16.1,,0.0,Tyler Ferguson
131,13,,35,37,9,,31,,Tyler Soderstrom
97,8,,32,22,2,,17,,Adam Frazier
38,4,,15,5,1,,10,,Alexander Canario
,,3.18,,,,39.2,,0.0,Andrew Heaney
95,13,,29,25,3,,20,,Andrew McCutchen
,,5.06,,,,37.1,,0.0,Bailey Falter
138,13,,34,32,4,,42,,Bryan Reynolds
,,3.68,,,,14.2,,0.0,Caleb Ferguson
,,6.58,,,,26.0,,0.0,Carmen Mlodzinski
,,1.23,,,,14.2,,0.0,Chase Shugart
,,8.44,,,,10.2,,0.0,Colin Holderman
,,5.63,,,,8.0,,0.0,David Bednar
,,1.35,,,,13.1,,0.0,Dennis Santana
82,11,,28,17,2,,15,,Enmanuel Valdez
28,1,,10,4,1,,4,,Henry Davis
52,3,,22,8,0,,6,,Jared Triolo
85,15,,26,24,1,,28,,Joey Bart
,,3.86,,,,16.1,,0.0,Joey Wentz
122,8,,33,31,1,,24,,Ke'Bryan Hayes
,,,,,,,,,Liover Peguero
15,0,,6,4,1,,4,,Matt Gorski
,,4.38,,,,39.0,,0.0,Mitch Keller
111,24,,32,27,8,,38,,Oneil Cruz
,,2.74,,,,42.2,,0.0,Paul Skenes
,,3.46,,,,13.0,,0.0,Ryan Borucki
,,0.00,,,,1.0,,0.0,Tanner Rainey
98,9,,29,18,0,,31,,Tommy Pham
,,1.56,,,,17.1,,0.0,Adrian Morejon
,,2.16,,,,16.2,,0.0,Alek Jacob
